CB1	CB2	Jaccard_score
3949_122598_156327	56138_122194_156327	0.250000
122194_156327_122598	3949_122598_156327	0.363636
3949_122598_156327	3949_151517_107276	0.384615
122598_3949_151517	3949_122598_156327	0.461538
122598_3949_151517	3949_151517_107276	0.666667
3950_75603_124689	60845_134494_75232	0.363636
134494_60845_175916	3950_75603_124689	0.363636
133390_134492_216128	3950_75603_124689	0.277778
3950_75603_124689	75603_124689_200984	0.750000
134492_216128_200984	3950_75603_124689	0.500000
124689_200984_216128	3950_75603_124689	0.500000
3950_75603_124689	60845_175916_133390	0.272727
156070_75604_193514	3950_75603_124689	0.333333
38808_74355_193869	3957_212202_50832	0.363636
195150_3957_212202	3957_212202_50832	0.500000
193869_107385_212205	3957_212202_50832	0.600000
153237_50832_212202	3957_212202_50832	1.000000
107385_212205_153237	3957_212202_50832	0.600000
3957_212202_50832	50832_153237_212205	0.600000
3957_212202_50832	74355_193869_107385	0.600000
195150_3957_212202	3957_212202_144452	0.357143
107385_212205_153237	3957_212202_144452	0.266667
3957_212202_144452	50832_153237_212205	0.266667
193822_144452_212202	3957_212202_144452	1.000000
38808_74355_133400	3957_212202_144452	0.428571
153237_50832_193822	3957_212202_144452	0.666667
3957_212202_144452	50832_193822_144452	0.666667
107846_4863_184724	4863_184724_171759	1.000000
204862_4952_240465	4952_204862_131943	0.500000
112658_131943_204862	4952_204862_131943	0.666667
35196_5067_104401	5067_35196_176171	1.000000
6823_211656_80868	80868_92788_134231	0.700000
133872_133873_212303	6823_211656_80868	0.314286
6823_211656_80868	80775_212303_133873	0.305556
6823_211656_80868	84087_149114_243639	0.323529
6823_211656_80868	6823_243844_151631	0.866667
6823_211656_80868	80775_107278_151631	0.529412
134231_84087_149114	6823_211656_80868	0.400000
6823_211656_80868	92788_80868_211656	0.595745
133873_133872_156421	6823_211656_80868	0.250000
6823_211656_80868	84087_134231_92788	0.580645
107278_151631_243844	6823_211656_80868	0.757576
211656_6823_243844	6823_211656_80868	0.764706
107278_80775_212303	6823_211656_80868	0.347826
6823_243844_151631	80868_92788_134231	0.645161
133872_133873_212303	6823_243844_151631	0.393939
6823_243844_151631	80775_212303_133873	0.382353
6823_243844_151631	84087_149114_243639	0.285714
6823_243844_151631	80775_107278_151631	0.625000
134231_84087_149114	6823_243844_151631	0.354839
6823_243844_151631	92788_80868_211656	0.530612
133873_133872_156421	6823_243844_151631	0.323529
6823_243844_151631	84087_134231_92788	0.531250
107278_151631_243844	6823_243844_151631	0.870968
211656_6823_243844	6823_243844_151631	0.875000
107278_80775_212303	6823_243844_151631	0.409091
37642_32243_240572	6936_134195_64467	0.250000
6936_134195_64467	97036_187325_240572	0.250000
32243_37642_202552	6936_134195_64467	0.250000
32243_240572_187325	6936_134195_64467	0.250000
32601_9139_172588	9139_32601_190390	0.772727
24610_202235_185529	9162_20540_80897	0.300000
55574_69189_107435	9167_107435_69189	1.000000
9167_107435_69189	92204_9167_107435	0.571429
64178_192012_79681	9167_107435_69189	0.250000
104653_79681_192012	9167_107435_69189	0.250000
69189_55574_104650	9167_107435_69189	0.666667
9881_9882_55114	9882_55114_195138	1.000000
42156_75856_243824	9956_80982_243824	0.666667
75856_42156_193134	9956_80982_243824	0.600000
20165_193134_42156	9956_80982_243824	0.750000
193134_20165_228768	9956_80982_243824	0.750000
75856_243824_80982	9956_80982_243824	1.000000
133941_238571_228515	9956_80982_243824	0.375000
142369_228515_238571	9956_80982_243824	0.333333
20165_228768_53364	9956_80982_243824	0.714286
202241_202077_237966	9959_202068_32028	0.428571
202068_32028_211220	9959_202068_32028	0.571429
32028_211220_202209	9959_202068_32028	0.333333
202209_211220_211164	9959_202068_211164	0.300000
53869_9999_84127	9999_84127_75065	0.636364
13155_204949_56444	84444_144063_210601	0.636364
13155_204949_56444	212101_102989_212308	0.272727
13155_204949_56444	32703_210601_144063	0.777778
13155_204949_56444	144063_84444_212101	0.400000
13155_204949_56444	84444_212101_102989	0.272727
102989_212308_102990	13155_204949_56444	0.444444
13155_204949_56444	210601_32703_212309	0.444444
13155_204949_56444	204949_13155_212309	0.500000
13155_204949_56444	74308_107091_102990	0.333333
13155_204949_56444	13155_212309_32703	0.444444
107091_102990_212308	13155_204949_56444	0.333333
102991_212186_223783	13155_204949_56444	0.272727
13155_212309_32703	84444_144063_210601	0.545455
13155_212309_32703	212101_102989_212308	0.444444
13155_212309_32703	32703_210601_144063	0.666667
13155_212309_32703	144063_84444_212101	0.444444
13155_212309_32703	84444_212101_102989	0.444444
13155_212309_32703	74308_223783_212186	0.250000
107091_74308_223783	13155_212309_32703	0.250000
102989_212308_102990	13155_212309_32703	0.500000
13155_212309_32703	210601_32703_212309	1.000000
13155_212309_32703	204949_13155_212309	0.833333
13155_212309_32703	74308_107091_102990	0.375000
107091_102990_212308	13155_212309_32703	0.375000
102991_212186_223783	13155_212309_32703	0.300000
13644_24667_240436	156712_50405_159903	0.333333
13644_24667_240436	50405_159903_184842	0.375000
13644_51562_17357	51562_13644_240436	0.375000
